Rank,Team,"Score %",QB,RB,WR,FLX,TE,K,DST
1,"Team Gregory",100.0,3,11,1,3,8,3,9
2,"Spos Before Hos",99.0,9,13,2,1,3,4,2
3,"Team Cudykier",95.5,11,5,5,8,7,2,4
4,"Cool Hand Lou",94.8,10,3,7,7,12,13,12
5,"Deflate Deez Nutz",93.9,8,12,3,6,13,7,9
6,"Team Force",93.3,6,4,8,4,11,11,6
7,"SFV Aguilar",93.3,5,9,12,11,1,12,14
8,"SUPERMAX RULES!",92.3,13,7,9,5,2,6,7
9,"Gurley Gone Wild",92.2,7,2,10,10,9,9,3
10,"Team Thomas",89.2,2,14,4,2,5,5,8
11,"Team Frisch",88.7,4,6,13,13,6,8,5
12,"Little Miss Moffett",88.2,1,10,11,12,14,1,1
13,"OhNo RoMo",86.4,14,8,6,9,4,10,9
14,"Team Wasserman",79.6,12,1,14,14,10,13,13